Subject,Experience_Sampling_Questions_Response_Time,GoNoGo_Task_Response_Time,Go_Task_Accuracy,NoGo_Task_Accuracy,Finger_Tapping_Task_Response_Time,Finger_Tapping_Task_Accuracy,Two-Back_Task-faces_Response_Time,Two-Back_Task-faces_Accuracy,Two-Back_Task-scenes_Response_Time,Two-Back_Task-scenes_Accuracy,One-Back_Task_Response_Time,One-Back_Task_Accuracy,Zero-Back_Task_Response_Time,Zero-Back_Task_Accuracy,Hard_Math_Task_Response_Time,Hard_Math_Task_Accuracy,Easy_Math_Task_Response_Time,Easy_Math_Task_Accuracy,Friend_Task_Response_Time,Friend_Task_Sentiment,You_Task_Response_Time,You_Task_Sentiment
subject_146,4.184077348,1.030230903,0.666666667,0.781609195,0.35703839,1,1.081821438,0.808510638,1.009648969,0.80952381,1.41052367,0.9,0.779740209,1,2.901919319,0.658536585,1.996057113,0.983333333,0.973914202,0.833333316,0.956641476,0.764705871
subject_147,2.733027889,1.04473865,0.625,0.504504505,0.394620166,1,1.424366361,0.630434783,0.946196569,0.941176471,1.76785973,1,2.417625609,0.818181818,2.640277857,0.882352941,2.037461649,1,1.4925317,0.627906962,1.079180246,0.578947358
subject_148,3.397269187,1.030520171,0.5625,0.837398374,0.46559516,1,0.918040967,0.823529412,0.778094756,0.898305085,1.802434511,1,0.836181218,1,2.597704607,0.755555556,1.893100569,1,1.626115273,0.590909077,1.197119038,0.630769221
subject_149,3.203178463,1.006996181,0.923076923,0.603603604,0.33003294,1,1.832849089,0.27027027,1.121337673,0.791666667,1.095939918,0.909090909,0.616093233,1,3.009920183,0.913043478,1.974118707,0.962962963,0.764230987,0.888888869,0.767581997,0.812499987
subject_15,4.617741408,1.02685305,0.9,0.394495413,0.294510994,1,1.163912094,0.787234043,1.444563464,0.62,1.46936437,0.8,0.673880069,1,2.670421842,0.909090909,1.907161513,1,1.029979474,0.799999984,1.042671473,0.683333322
subject_150,2.799720501,0.991503894,0.882352941,0.62601626,1.45605516,0.8,0.956996821,0.839285714,0.87315386,0.893617021,1.3667307,0.636363636,0.925792053,0.866666667,2.375134155,0.755102041,2.030448149,0.964285714,1.148282892,0.947368396,1.57301872,0.775862056
subject_151,4.169676352,1.018626519,0.5,0.831932773,0.379076927,1,0.662122458,0.781818182,0.805653318,0.903225806,0.823181418,0.909090909,1.595217473,0.727272727,3.379289924,0.485714286,2.358502325,0.536585366,2.246956048,0.538461518,2.485686893,0.594594579
subject_152,3.139226746,0.989904612,0.777777778,0.96875,0.374404163,1,1.363173373,0.75,0.948857616,0.886363636,0.850312056,1,0.757236258,0.916666667,2.284535265,0.87037037,1.911271026,1,1.04932834,0.833333316,1.256467685,0.819672118
subject_153,4.427404045,1.012868829,0.555555556,0.62,0.352188237,1,1.87447278,0.177777778,1.094467396,0.79245283,1.770417782,1,0.665222292,1,2.326412768,0.826923077,1.988361238,0.947368421,0.876953739,0.816326514,0.882083321,0.571428563
subject_154,4.865719469,1.012516207,0.941176471,0.754716981,0.348867417,1,1.7909382,0.113636364,1.835327495,0.128205128,1.3195916,0.909090909,0.635215725,0.875,2.076250835,0.890909091,1.939494057,0.967741935,1.235744134,0.341463406,1.160302607,0.603448265
subject_155,2.837859385,1.025925637,0.833333333,0.81443299,0.860962838,1,1.06826565,0.695652174,1.233838754,0.8,2.600530622,0.222222222,3.157209721,0.214285714,2.284955459,0.563636364,2.825212302,0.071428571,1.212541309,0.772727255,0.966779669,0.55737704
subject_156,4.975086812,0.987063527,0.944444444,0.942528736,0.343450514,1,1.188749511,0.849056604,1.218442904,0.875,1.135273992,1,0.64599457,1,2.407761646,0.960784314,1.880868134,1,1.5103703,0.936170193,1.925244302,0.652173899
subject_157,4.244085249,1.017491637,0.705882353,0.972972973,0.342921161,1,0.845299577,0.789473684,0.73252071,0.762711864,0.756303391,1,1.06904682,0.9,2.047343838,0.923076923,1.909989256,0.955223881,0.843031449,0.936170193,1.055034032,0.774193536
subject_158,2.693057622,0.989979981,0.714285714,0.58490566,0.360082269,1,0.743621959,0.642857143,0.621757584,0.818181818,0.80242135,0.9,0.98753053,0.7,2.638552635,0.739130435,1.95331858,0.94,0.878117057,0.666666651,0.721744315,0.491525415
subject_159,3.677549156,1.029719351,0.705882353,0.575,0.39710191,1,1.073565956,0.756097561,0.940898337,0.705882353,0.664635511,0.666666667,0.806024,1,2.353602988,0.836734694,2.174555042,0.886792453,1.245881102,0.812499983,0.983450294,0.746268646
subject_16,4.387295287,1.007061746,0.8,0.969072165,0.368999137,1,0.628659967,0.903846154,0.754462661,0.851851852,0.746321955,1,0.867747809,1,2.064424721,0.981132075,1.905627504,0.979591837,0.809741723,0.884615368,0.809068009,0.764705871
subject_160,3.932180695,1.013679658,0.857142857,0.558558559,0.420860606,1,0.860383129,0.933333333,0.879866818,0.912280702,0.897347509,1,0.7849687,1,2.099651958,0.943396226,1.955223333,0.960784314,1.253859432,0.780487786,1.122610983,0.661016938
subject_161,5.113320052,1.002498285,0.666666667,0.902439024,0.336089375,1,0.920369416,0.839285714,1.057485121,0.912280702,0.727642408,1,0.849503571,1,2.851116924,0.822222222,2.036407885,0.944444444,1.049069162,0.866666647,0.910311441,0.620689644
subject_162,3.157003595,1.009897641,1,0,0.418023172,1,1.2589243,0.711111111,0.740142042,0.903846154,1.42086323,0.9,1.448513036,0.928571429,2.174243885,0.895833333,1.881419519,1,0.997700196,0.872340407,0.731253306,0.784615373
subject_163,2.613854505,0.999459852,0.611111111,0.260162602,0.792504375,1,0.915097672,0.64,0.826186742,0.84,1.859265255,0.545454545,2.16897919,0.8,2.638055421,0.47826087,2.202342372,0.75,0.978088261,0.767441843,1.046666229,0.714285702
subject_164,3.913119356,1.030576986,1,0.927927928,0.391918961,1,0.766283185,0.888888889,0.66282073,0.867924528,0.74452159,1,0.543634064,1,2.200652198,0.813559322,1.860288712,1,0.728025445,0.808510621,0.942516775,0.8235294
subject_165,5.240894416,0.98959281,0.8125,0.798165138,0.369193917,1,0.774534644,0.872727273,0.724073213,0.964285714,1.135137782,0.909090909,0.631480682,0.909090909,2.657305073,0.959183673,1.854218357,0.981481481,1.294296666,0.704545439,0.949816075,0.695652164
subject_166,3.584259881,0.983271783,0.823529412,0.932038835,0.351464582,1,1.091885508,0.770833333,0.958475782,0.918367347,1.226215355,0.909090909,0.9002252,1,2.117675853,0.836363636,1.928357842,0.983050847,1.524100625,0.549999986,1.220904243,0.705882339
subject_167,3.209395675,0.975685297,0.8,0.274193548,0.457392566,1,0.904892559,0.829268293,0.646863551,0.8,2.464629411,0.333333333,0.96771995,1,2.595198005,1,1.895216798,0.979166667,1.487890333,0.911111091,1.084449617,0.89830507
subject_168,3.652957181,1.051004794,0.846153846,0.861386139,0.380787434,1,0.915846474,0.84,0.848554953,0.913793103,0.887111455,1,0.81144245,1,2.21754468,0.901960784,1.91342228,1,1.180597423,0.788461523,1.078110846,0.701492527
subject_169,3.515977755,1.006189435,0.8125,0.777777778,0.393934335,1,0.953333212,0.88,0.838754275,0.859649123,0.840070269,0.769230769,0.70799806,1,2.286857138,0.82,1.969113843,0.983050847,0.971308062,0.794871774,0.851155293,0.739130424
subject_17,3.95767987,1.006806372,0.923076923,0.867256637,0.356889578,1,1.167099676,0.888888889,1.130493026,0.891304348,1.246887822,1,0.883417773,1,2.27514592,0.94,1.821316471,1,1.205991087,0.565217379,0.967890043,0.485294111
subject_170,4.082639636,0.99974702,0.933333333,0.262295082,0.427344527,1,1.290613161,0.863636364,1.310948921,0.842105263,1.180033958,1,0.72274358,1,2.182490651,0.87755102,1.92898298,0.95,0.818960992,0.799999984,1.024106611,0.716981119
subject_171,2.216098777,1.040118067,0.470588235,0.732283465,0.432805134,1,0.725297793,0.652173913,0.439059743,0.759259259,0.914748055,1,0.942828855,0.909090909,2.075899617,0.90625,1.945225021,0.928571429,0.747280052,0.8181818,0.851363558,0.830985904
subject_172,1.987011863,1.011087697,0.411764706,0.87254902,0.43110319,1,0.541053296,0.872727273,0.725496521,0.8125,0.997021477,1,2.13359244,0.7,2.413154039,0.655172414,2.210813473,0.79245283,0.336892875,0.547169801,0.460608155,0.534246568
subject_173,2.395655886,1.021494011,0.470588235,0.98245614,0.393773488,1,0.712416311,0.759259259,0.659198432,0.824561404,0.76824433,1,0.58683635,0.833333333,2.800558563,0.851851852,1.914820322,1,1.046803384,0.612244885,1.067270202,0.721311464
