Task_name,Id_number,Runtime_mod,Absorption_response,Other_response,Problem_response,Words_response,Sounds_response,Images_response,Past_response,Distracting_response,Focus_response,Intrusive_response,Deliberate_response,Detailed_response,Future_response,Emotion_response,Self_response,Knowledge_response,Gradient_1,Gradient_2,Gradient_3,Gradient_4,Gradient_5
Hard_Math_Task,subject_5,8,5.3,1.0,10.0,8.0,1.0,1.0,1.0,1.0,1.800000000000001,1.0,10.0,4.3000000000000025,1.0,6.0,1.800000000000001,10.0,-0.078457467,0.308141529,0.225440393,-0.100786219,-0.159113885
Hard_Math_Task,subject_5,-12,4.0,1.0,9.099999999999996,6.600000000000001,1.0,1.0,1.0,1.0,1.0,1.0,8.599999999999989,8.0,1.0,5.000000000000018,1.4999999999999984,9.599999999999985,-0.078457467,0.308141529,0.225440393,-0.100786219,-0.159113885
Hard_Math_Task,subject_5,-10,9.0,1.0,9.500000000000002,4.400000000000017,1.0,1.5000000000000009,7.500000000000005,1.0,1.0,1.0,9.0,5.899999999999997,1.0,4.800000000000014,1.0,8.799999999999988,-0.078457467,0.308141529,0.225440393,-0.100786219,-0.159113885
Easy_Math_Task,subject_5,9,6.199999999999998,1.0,9.0,5.0,1.0,1.0,6.0,1.0,4.0,1.0,9.099999999999989,8.300000000000002,2.0,5.100000000000014,1.0,9.0,0.019598666,0.159960465,-0.014416948,-0.077514379,-0.048953364
Easy_Math_Task,subject_5,-8,4.800000000000007,1.0,4.900000000000002,1.4000000000000152,1.0,1.0000000000000047,5.600000000000005,1.0,1.0,1.0,4.900000000000004,4.199999999999999,6.499999999999996,4.100000000000007,1.0,8.999999999999986,0.019598666,0.159960465,-0.014416948,-0.077514379,-0.048953364
Easy_Math_Task,subject_5,9,6.500000000000005,1.0,4.8000000000000105,1.0,1.0,5.899999999999999,8.700000000000001,6.399999999999996,6.500000000000012,1.0,4.000000000000017,3.600000000000006,2.0,4.000000000000001,1.0,6.099999999999998,0.019598666,0.159960465,-0.014416948,-0.077514379,-0.048953364
Friend_Task,subject_5,11,8.699999999999987,10.0,9.0,9.0,8.0,6.999999999999995,7.0,3.099999999999999,1.0,1.0,2.0,9.0,8.79999999999999,9.0,2.0,8.0,0.05335777,-0.029923705,-0.10770592,0.040008621,0.124890218
Friend_Task,subject_5,7,10.0,9.399999999999988,5.5,6.20000000000001,7.0000000000000036,8.699999999999989,8.999999999999986,6.300000000000013,6.0,1.0,1.7000000000000153,3.1999999999999984,7.000000000000011,10.0,4.600000000000001,9.199999999999987,0.05335777,-0.029923705,-0.10770592,0.040008621,0.124890218
Friend_Task,subject_5,-11,8.999999999999996,9.89999999999999,5.0,5.200000000000003,6.0,9.300000000000002,8.900000000000004,7.199999999999992,2.0,1.0,3.0,3.000000000000009,8.099999999999993,9.0,2.300000000000012,6.099999999999999,0.05335777,-0.029923705,-0.10770592,0.040008621,0.124890218
You_Task,subject_5,-7,5.100000000000001,2.4000000000000083,1.0,2.100000000000015,2.0,4.500000000000018,5.100000000000003,2.5000000000000155,2.0,1.0,2.000000000000008,2.699999999999999,3.0,5.000000000000007,10.0,2.4999999999999996,-0.021150619,-0.040841849,-0.078681229,0.11023981,0.129910408
You_Task,subject_5,11,7.499999999999991,6.499999999999996,1.0,1.3999999999999995,2.699999999999998,2.7000000000000086,4.400000000000007,4.30000000000001,3.700000000000006,1.0,2.8000000000000087,4.100000000000014,4.3999999999999995,7.500000000000005,9.399999999999988,4.800000000000018,-0.021150619,-0.040841849,-0.078681229,0.11023981,0.129910408
You_Task,subject_5,12,9.0,4.500000000000007,2.499999999999998,3.1999999999999984,4.100000000000017,2.0,3.8000000000000007,8.599999999999989,8.800000000000004,1.200000000000001,2.1999999999999993,1.5999999999999983,2.2999999999999985,5.2000000000000135,5.899999999999998,5.300000000000006,-0.021150619,-0.040841849,-0.078681229,0.11023981,0.129910408
